latitude,longitude,altitude,geometry,No.,Name,Floor,X,Y,Z
-33.91276878408261,150.92979796897868,14.64,Point,73,R0446,GF,308609.81,6245584.938,14.64
-33.91270765465207,150.929838456984,14.64,Point,74,R0446,GF,308613.417,6245591.793,14.64
-33.912649483103785,150.92976260262174,14.64,Point,75,R0446,GF,308606.273,6245598.103,14.64
-33.91313110384095,150.9297243472355,16.32,Point,76,R0448,GF,308603.813,6245544.618,16.32
-33.913180042995926,150.92979595874203,16.32,Point,77,R0448,GF,308610.544,6245539.324,16.32
-33.913112647228424,150.9298504092155,16.32,Point,78,R0448,GF,308615.428,6245546.9,16.32
-33.913063633243766,150.9297797079956,16.32,Point,79,R0448,GF,308608.781,6245552.204,16.32
-33.91569959778967,150.92989018361206,18.71,Point,80,R0450,GF,308624.892,6245260.071,18.71
-33.91569959778967,150.92989018361206,21.71,Point,80,R0450,F 1,308624.892,6245260.071,21.71
-33.91569959778967,150.92989018361206,24.71,Point,80,R0450,F 2,308624.892,6245260.071,24.71
-33.91584059048605,150.92973610507775,18.71,Point,81,R0450,GF,308610.961,6245244.147,18.71
-33.91584059048605,150.92973610507775,21.71,Point,81,R0450,F 1,308610.961,6245244.147,21.71
-33.91584059048605,150.92973610507775,24.71,Point,81,R0450,F 2,308610.961,6245244.147,24.71
-33.91600014238514,150.92976449618885,18.71,Point,82,R0450,GF,308613.943,6245226.505,18.71
-33.91600014238514,150.92976449618885,21.71,Point,82,R0450,F 1,308613.943,6245226.505,21.71
-33.91600014238514,150.92976449618885,24.71,Point,82,R0450,F 2,308613.943,6245226.505,24.71
-33.915895709786604,150.92983152513014,18.71,Point,83,R0450,GF,308619.907,6245238.212,18.71
-33.915895709786604,150.92983152513014,21.71,Point,83,R0450,F 1,308619.907,6245238.212,21.71
-33.915895709786604,150.92983152513014,24.71,Point,83,R0450,F 2,308619.907,6245238.212,24.71
-33.91580561452386,150.92986105657982,18.71,Point,84,R0450,GF,308622.436,6245248.259,18.71
-33.91580561452386,150.92986105657982,21.71,Point,84,R0450,F 1,308622.436,6245248.259,21.71
-33.91580561452386,150.92986105657982,24.71,Point,84,R0450,F 2,308622.436,6245248.259,24.71
-33.91589897439177,150.92986372979203,18.71,Point,85,R0450,GF,308622.892,6245237.91,18.71
-33.91589897439177,150.92986372979203,21.71,Point,85,R0450,F 1,308622.892,6245237.91,21.71
-33.91589897439177,150.92986372979203,24.71,Point,85,R0450,F 2,308622.892,6245237.91,24.71
-33.91601514851306,150.92991208650884,18.71,Point,86,R0450,GF,308627.623,6245225.116,18.71
-33.91601514851306,150.92991208650884,21.71,Point,86,R0450,F 1,308627.623,6245225.116,21.71
-33.91601514851306,150.92991208650884,24.71,Point,86,R0450,F 2,308627.623,6245225.116,24.71
-33.91586733787173,150.92999906974674,18.71,Point,87,R0450,GF,308635.335,6245241.671,18.71
-33.91586733787173,150.92999906974674,21.71,Point,87,R0450,F 1,308635.335,6245241.671,21.71
-33.91586733787173,150.92999906974674,24.71,Point,87,R0450,F 2,308635.335,6245241.671,24.71
-33.91349371737198,150.92974541368926,17.55,Point,88,R0452,GF,308606.572,6245504.442,17.55
-33.91349371737198,150.92974541368926,20.55,Point,88,R0452,F 1,308606.572,6245504.442,20.55
-33.913575255651594,150.92984993644228,17.55,Point,89,R0452,GF,308616.419,6245495.594,17.55
-33.913575255651594,150.92984993644228,20.55,Point,89,R0452,F 1,308616.419,6245495.594,20.55
-33.91356407057442,150.92999930252526,17.55,Point,90,R0452,GF,308630.205,6245497.113,17.55
-33.91356407057442,150.92999930252526,20.55,Point,90,R0452,F 1,308630.205,6245497.113,20.55
-33.91348409390245,150.9298938009611,17.55,Point,91,R0452,GF,308620.271,6245505.786,17.55
-33.91348409390245,150.9298938009611,20.55,Point,91,R0452,F 1,308620.271,6245505.786,20.55
-33.91529779720528,150.93001550749224,19.25,Point,92,R0459,GF,308635.581,6245304.866,19.25
-33.91529779720528,150.93001550749224,22.25,Point,92,R0459,F 1,308635.581,6245304.866,22.25
-33.91529779720528,150.93001550749224,25.25,Point,92,R0459,F 2,308635.581,6245304.866,25.25
-33.91529779720528,150.93001550749224,28.25,Point,92,R0459,F 3,308635.581,6245304.866,28.25
-33.91534539800325,150.92981555066953,19.25,Point,93,R0459,GF,308617.199,6245299.214,19.25
-33.91534539800325,150.92981555066953,22.25,Point,93,R0459,F 1,308617.199,6245299.214,22.25
-33.91534539800325,150.92981555066953,25.25,Point,93,R0459,F 2,308617.199,6245299.214,25.25
-33.91534539800325,150.92981555066953,28.25,Point,93,R0459,F 3,308617.199,6245299.214,28.25
-33.9154324752173,150.92987625895088,19.25,Point,94,R0459,GF,308623.007,6245289.67,19.25
-33.9154324752173,150.92987625895088,22.25,Point,94,R0459,F 1,308623.007,6245289.67,22.25
-33.9154324752173,150.92987625895088,25.25,Point,94,R0459,F 2,308623.007,6245289.67,25.25
-33.9154324752173,150.92987625895088,28.25,Point,94,R0459,F 3,308623.007,6245289.67,28.25
-33.91547642081858,150.92992438353983,19.25,Point,95,R0459,GF,308627.555,6245284.886,19.25
-33.91547642081858,150.92992438353983,22.25,Point,95,R0459,F 1,308627.555,6245284.886,22.25
-33.91547642081858,150.92992438353983,25.25,Point,95,R0459,F 2,308627.555,6245284.886,25.25
-33.91547642081858,150.92992438353983,28.25,Point,95,R0459,F 3,308627.555,6245284.886,28.25
-33.915505447881166,150.92987409347256,19.25,Point,96,R0459,GF,308622.97,6245281.573,19.25
-33.915505447881166,150.92987409347256,22.25,Point,96,R0459,F 1,308622.97,6245281.573,22.25
-33.915505447881166,150.92987409347256,25.25,Point,96,R0459,F 2,308622.97,6245281.573,25.25
-33.915505447881166,150.92987409347256,28.25,Point,96,R0459,F 3,308622.97,6245281.573,28.25
-33.91557117430012,150.92979383333275,19.25,Point,97,R0459,GF,308615.696,6245274.134,19.25
-33.91557117430012,150.92979383333275,22.25,Point,97,R0459,F 1,308615.696,6245274.134,22.25
-33.91557117430012,150.92979383333275,25.25,Point,97,R0459,F 2,308615.696,6245274.134,25.25
-33.91557117430012,150.92979383333275,28.25,Point,97,R0459,F 3,308615.696,6245274.134,28.25
-33.91567235020758,150.9299476337088,19.25,Point,98,R0459,GF,308630.143,6245263.2,19.25
-33.91567235020758,150.9299476337088,22.25,Point,98,R0459,F 1,308630.143,6245263.2,22.25
-33.91567235020758,150.9299476337088,25.25,Point,98,R0459,F 2,308630.143,6245263.2,25.25
-33.91567235020758,150.9299476337088,28.25,Point,98,R0459,F 3,308630.143,6245263.2,28.25
-33.91562274014644,150.93013428299918,19.25,Point,99,R0459,GF,308647.29,6245269.05,19.25
-33.91562274014644,150.93013428299918,22.25,Point,99,R0459,F 1,308647.29,6245269.05,22.25
-33.91562274014644,150.93013428299918,25.25,Point,99,R0459,F 2,308647.29,6245269.05,25.25
-33.91562274014644,150.93013428299918,28.25,Point,99,R0459,F 3,308647.29,6245269.05,28.25
-33.91553767194833,150.93008687174205,19.25,Point,100,R0459,GF,308642.716,6245278.396,19.25
-33.91553767194833,150.93008687174205,22.25,Point,100,R0459,F 1,308642.716,6245278.396,22.25
-33.91553767194833,150.93008687174205,25.25,Point,100,R0459,F 2,308642.716,6245278.396,25.25
-33.91553767194833,150.93008687174205,28.25,Point,100,R0459,F 3,308642.716,6245278.396,28.25
